Problem,,,Constructive Algorithm,,,Local Search Algorithm,,GRASP Algorithm,,Known Best Solution
Name, |V| or n, |E| or m, Simple Randomized, Simple Greedy, Semi Greedy, No of iterations, Best Value, No of iterations, Best Value,
G1,800,19176,11021.14,11262.84,11248,80,11402,50,11488,12078
G2,800,19176,11020.42,11266.18,11144,109,11367,50,11495,12084
G3,800,19176,11017.26,11279.56,11150,113,11380,50,11444,12077
G11,800,1600,569.2,690.7,635,9,645,50,669,627
G12,800,1600,551.84,678.14,575,14,596,50,636,621
G13,800,1600,569.12,697.04,642,10,653,50,683,645
G14,800,4694,2869.14,2947.94,2947,21,2972,50,2990,3187
G15,800,4661,2849.36,2923,2924,22,2951,50,2974,3169
G16,800,4672,2853.9,2927.1,2921,27,2953,20,2968,3172
G22,2000,19990,12367.2,12791.65,12651,134,12881,20,12992,14123
G23,2000,19990,12352.95,12794.45,12791,103,12959,20,13027,14129
G24,2000,19990,12349.35,12781.9,12757,111,12948,20,13014,14131
G32,2000,4000,1137.22,1392.7,1317,38,1401,20,1449,1560
G33,2000,4000,1015.2,1322.62,1296,42,1399,20,1428,1537
G34,2000,4000,1120.9,1354.5,1309,47,1423,20,1467,1541
G35,2000,4000,7589.83,7742.6,7705,35,7782,20,7851,8000
G36,2000,4000,7673.4,7800.12,7798,51,7809,20,7893,7996
G37,2000,4000,7757.42,7891,7843,41,7885,20,7901,8009
G38,2000,11779,7179.29,7381.25,7222,92,7413,20,7579,0
G53,1000,5914,3605.3,3699.4,3691,28,3726,10,3742,0
G54,1000,5916,3611.4,3699.8,3701,25,3733,10,3747,0
G4,800,19176,11027.5,11272.2,11271.0,78.0,11413.0,10,11481.0,0
G5,800,19176,11018.1,11278.8,11251.0,84.0,11421.0,10,11505.0,0
G6,800,19176,1552.0,1770.8,1766.0,97.0,1955.0,10,2020.0,0
G7,800,19176,1371.6,1607.7,1579.0,97.0,1781.0,10,1843.0,0
G8,800,19176,1374.6,1585.8,1532.0,106.0,1747.0,10,1820.0,0
G9,800,19176,1423.4,1673.4,1647.0,91.0,1824.0,10,1871.0,0
G10,800,19176,1399.1,1607.7,1591.0,86.0,1762.0,10,1807.0,0
G17,800,4667,2851.9,2926.7,2915.0,28.0,2949.0,10,2964.0,0
G18,800,4694,708.7,835.5,772.0,56.0,861.0,10,885.0,0
G19,800,4661,603.9,745.8,721.0,41.0,782.0,10,810.0,0
